medium;description;BiGG;name
M9;M9 minimal medium;mn2;Mn2+
M9;M9 minimal medium;mobd;Molybdate
M9;M9 minimal medium;na1;Na+
M9;M9 minimal medium;nh4;Ammonium
M9;M9 minimal medium;ni2;Ni2+
M9;M9 minimal medium;o2;O2
M9;M9 minimal medium;pi;Phosphate
M9;M9 minimal medium;so4;Sulfate
M9;M9 minimal medium;zn2;Zn2+
M9[-O2];M9 minimal medium (anaerobic);ca2;Ca2+
M9[-O2];M9 minimal medium (anaerobic);cl;Cl-
M9[-O2];M9 minimal medium (anaerobic);cobalt2;Co2+
M9[-O2];M9 minimal medium (anaerobic);cu2;Cu2+
M9[-O2];M9 minimal medium (anaerobic);fe2;Fe2+
M9[-O2];M9 minimal medium (anaerobic);fe3;Fe3+
M9[-O2];M9 minimal medium (anaerobic);glc__D;D-Glucose
M9[-O2];M9 minimal medium (anaerobic);h2o;H2O
M9[-O2];M9 minimal medium (anaerobic);h;H+
M9[-O2];M9 minimal medium (anaerobic);k;K+
M9[-O2];M9 minimal medium (anaerobic);mg2;Mg
M9[-O2];M9 minimal medium (anaerobic);mn2;Mn2+
M9[-O2];M9 minimal medium (anaerobic);mobd;Molybdate
M9[-O2];M9 minimal medium (anaerobic);na1;Na+
M9[-O2];M9 minimal medium (anaerobic);nh4;Ammonium
M9[-O2];M9 minimal medium (anaerobic);ni2;Ni2+
M9[-O2];M9 minimal medium (anaerobic);pi;Phosphate
M9[-O2];M9 minimal medium (anaerobic);so4;Sulfate
M9[-O2];M9 minimal medium (anaerobic);zn2;Zn2+
M9[glyc];M9 minimal medium (glycerol);ca2;Ca2+
M9[glyc];M9 minimal medium (glycerol);cl;Cl-
M9[glyc];M9 minimal medium (glycerol);cobalt2;Co2+
M9[glyc];M9 minimal medium (glycerol);cu2;Cu2+
M9[glyc];M9 minimal medium (glycerol);fe2;Fe2+
M9[glyc];M9 minimal medium (glycerol);fe3;Fe3+
M9[glyc];M9 minimal medium (glycerol);glyc;Glycerol
M9[glyc];M9 minimal medium (glycerol);h2o;H2O
M9[glyc];M9 minimal medium (glycerol);h;H+
M9[glyc];M9 minimal medium (glycerol);k;K+
M9[glyc];M9 minimal medium (glycerol);mg2;Mg
M9[glyc];M9 minimal medium (glycerol);mn2;Mn2+
M9[glyc];M9 minimal medium (glycerol);mobd;Molybdate
M9[glyc];M9 minimal medium (glycerol);na1;Na+
M9[glyc];M9 minimal medium (glycerol);nh4;Ammonium
M9[glyc];M9 minimal medium (glycerol);ni2;Ni2+
M9[glyc];M9 minimal medium (glycerol);o2;O2
M9[glyc];M9 minimal medium (glycerol);pi;Phosphate
M9[glyc];M9 minimal medium (glycerol);so4;Sulfate
M9[glyc];M9 minimal medium (glycerol);zn2;Zn2+
SNM3;Synthetic Nasal Medium Version 3;ala__L;
SNM3;Synthetic Nasal Medium Version 3;arg__L;
SNM3;Synthetic Nasal Medium Version 3;cys__L;
SNM3;Synthetic Nasal Medium Version 3;glu__L;
SNM3;Synthetic Nasal Medium Version 3;gly;
SNM3;Synthetic Nasal Medium Version 3;his__L;
SNM3;Synthetic Nasal Medium Version 3;leu__L;
SNM3;Synthetic Nasal Medium Version 3;lys__L;
SNM3;Synthetic Nasal Medium Version 3;orn;
SNM3;Synthetic Nasal Medium Version 3;phe__L;
SNM3;Synthetic Nasal Medium Version 3;pro__L;
SNM3;Synthetic Nasal Medium Version 3;ser__L;
SNM3;Synthetic Nasal Medium Version 3;thr__L;
SNM3;Synthetic Nasal Medium Version 3;trp__L;
SNM3;Synthetic Nasal Medium Version 3;val__L;
SNM3;Synthetic Nasal Medium Version 3;cit;
SNM3;Synthetic Nasal Medium Version 3;fum;
SNM3;Synthetic Nasal Medium Version 3;male;
SNM3;Synthetic Nasal Medium Version 3;pyr;
SNM3;Synthetic Nasal Medium Version 3;succ;
SNM3;Synthetic Nasal Medium Version 3;glc__D;
SNM3;Synthetic Nasal Medium Version 3;urea;
SNM3;Synthetic Nasal Medium Version 3;na1;
SNM3;Synthetic Nasal Medium Version 3;cl;
SNM3;Synthetic Nasal Medium Version 3;k;
SNM3;Synthetic Nasal Medium Version 3;pi;
SNM3;Synthetic Nasal Medium Version 3;mg2;
SNM3;Synthetic Nasal Medium Version 3;so4;
SNM3;Synthetic Nasal Medium Version 3;;2,2-Bipyridine
SNM3;Synthetic Nasal Medium Version 3;ca2;
SNM3;Synthetic Nasal Medium Version 3;zn2;
SNM3;Synthetic Nasal Medium Version 3;mn2;
SNM3;Synthetic Nasal Medium Version 3;;H3BO3
SNM3;Synthetic Nasal Medium Version 3;cobalt2;
SNM3;Synthetic Nasal Medium Version 3;cu2;
SNM3;Synthetic Nasal Medium Version 3;ni2;
SNM3;Synthetic Nasal Medium Version 3;mobd;
SNM3;Synthetic Nasal Medium Version 3;adocbl;
SNM3;Synthetic Nasal Medium Version 3;4abz;
SNM3;Synthetic Nasal Medium Version 3;btn;
SNM3;Synthetic Nasal Medium Version 3;nac;
SNM3;Synthetic Nasal Medium Version 3;pnto__R;
SNM3;Synthetic Nasal Medium Version 3;pydam;
SNM3;Synthetic Nasal Medium Version 3;thm;
SNM3;Synthetic Nasal Medium Version 3;ribflv;
SNM3;Synthetic Nasal Medium Version 3;o2;
SNM3;Synthetic Nasal Medium Version 3;fe2;
SNM3;Synthetic Nasal Medium Version 3;h2o;
SNM3;Synthetic Nasal Medium Version 3;co2;
SMM;Synthtic Minimal Medium;na1;
SMM;Synthtic Minimal Medium;cl;
SMM;Synthtic Minimal Medium;k;
SMM;Synthtic Minimal Medium;mg2;
SMM;Synthtic Minimal Medium;so4;
SMM;Synthtic Minimal Medium;h2o;
SMM;Synthtic Minimal Medium;nh4;
SMM;Synthtic Minimal Medium;ca2;
SMM;Synthtic Minimal Medium;pi;
SMM;Synthtic Minimal Medium;fe2;
SMM;Synthtic Minimal Medium;mn2;
SMM;Synthtic Minimal Medium;glc__D;
SMM;Synthtic Minimal Medium;arg__L;
SMM;Synthtic Minimal Medium;cys__L;
SMM;Synthtic Minimal Medium;pro__L;
SMM;Synthtic Minimal Medium;nac;
SMM;Synthtic Minimal Medium;thm;
SMM;Synthtic Minimal Medium;pnto__R;
SMM;Synthtic Minimal Medium;h;
RPMI;;ca2;
RPMI;;no3;
RPMI;;mg2;
RPMI;;so4;
RPMI;;cl;
RPMI;;k;
RPMI;;na1;
RPMI;;pi;
RPMI;;gly;
RPMI;;arg__L;
RPMI;;asn__L;
RPMI;;asp__L;
RPMI;;cys__L;
RPMI;;glu__L;
RPMI;;gln__L;
RPMI;;his__L;
RPMI;;ile__L;
RPMI;;leu__L;
RPMI;;met__L;
RPMI;;phe__L;
RPMI;;pro__L;
RPMI;;ser__L;
RPMI;;thr__L;
RPMI;;trp__L;
RPMI;;tyr__L;
RPMI;;val__L;
RPMI;;lys__L;
RPMI;;btn;
RPMI;;chol;
RPMI;;ncam;
RPMI;;4abz;
RPMI;;ribflv;
RPMI;;thm;
RPMI;;inost;
RPMI;;pnto__R;
RPMI;;fol;
RPMI;;clb1;
RPMI;;pydxn;
RPMI;;cbl1;
RPMI;;nac;
RPMI;;glc__D;
RPMI;;gthrd;
RPMI;;h2o;
RPMI;;o2;
RPMI;;co2;
